title,brand,category,price,date,rating,num_of_ratings,link
"PHILIPS Essential Air Fryer, Analogue, Black, 50 hz, HD9200 ( International warranty )",Brand: Phlips,air fryers,"3,999
                         
                          .",09/01/2023,4.2 out of 5 stars,120 ratings,https://www.amazon.eg/-/en/Essential-Analogue-HD9200-International-warranty/dp/B08KGDTNG6/ref=sr_1_1?qid=1673219321&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-1
"PHILIPS Essential Air Fryer, Analogue, Black, 50 hz, HD9200 ( International warranty )",Brand: PHILIPS,air fryers,"4,270
                        
                         .",09/01/2023,4.4 out of 5 stars,367 ratings,https://www.amazon.eg/-/en/PHILIPS-Essential-Analogue-HD9200-International/dp/B08H7RKSM7/ref=sr_1_2?qid=1673219321&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-2
"NutriCook, Smart Air Fryer Oven, 1800W, 12L, Black, International Warranty",Brand: nutricook,air fryers,"8,750
                             
                              .",09/01/2023,4.3 out of 5 stars,415 ratings,https://www.amazon.eg/-/en/NutriCook-Smart-Fryer-International-Warranty/dp/B07ZYB62YW/ref=sr_1_3?qid=1673219321&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-3
"Air Fryer Liners Reusable-Silicone Air Fryer Liner Baking Paper,2pcs Round Air Fryer Silicone Liner Accessories Reusable Airfryer Liner Non-Stick Baking Tray Pot Basket Baking Pan Mats Replacement",Brand: Timyca,air fryers,"229
                         
                          .",09/01/2023,4.3 out of 5 stars,54 ratings,https://www.amazon.eg/-/en/Reusable-Silicone-Silicone-Accessories-Non-Stick-Replacement/dp/B0BF5WLZYH/ref=sr_1_4?qid=1673219321&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-4
"Philips Air Fryer 1.2Kg/6.2L XL Capacity to Fry, Bake, Grill, Roast Or Reheat - 60Hz Only - HD9270/90 ( International warranty )",Brand: PHILIPS,air fryers,"7,552
                         
                          .",09/01/2023,4.1 out of 5 stars,295 ratings,https://www.amazon.eg/-/en/Philips-Fryer-1-2Kg-Capacity-Reheat/dp/B08H89XTDT/ref=sr_1_5?qid=1673219321&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-5
"Black & Decker AF700 Digital Air Fryer, 4.3 Liters, Black International warranty",Brand: Black & Decker,air fryers,"6,599
                        
                         .",09/01/2023,4.6 out of 5 stars,38 ratings,https://www.amazon.eg/-/en/Black-Decker-Digital-International-warranty/dp/B08XQCDLXK/ref=sr_1_6?qid=1673219321&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-6
KENWOOD Air Fryer HFP50.000BK,Brand: KENWOOD,air fryers,"5,690
                         
                          .",09/01/2023,4.6 out of 5 stars,7 ratings,https://www.amazon.eg/-/en/KENWOOD-Air-Fryer-HFP50-000BK/dp/B09RBF42L2/ref=sr_1_7?qid=1673219321&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-7
"Kenwood Air Fryer 1500W, 3.8L Capacity, Black, 1.7KG, One spoon Oil, HFP30.000BK",Brand: Kenwood,air fryers,"3,960
                         
                          .",09/01/2023,4.3 out of 5 stars,12 ratings,https://www.amazon.eg/-/en/Kenwood-Fryer-1500W-Capacity-HFP30-000BK/dp/B08KSBMSZB/ref=sr_1_8?qid=1673219321&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-8
"Tefal Easy Fry Healthy Fryer, 4.2 L, Black - EY201815 ( International Warranty )",Brand: Tefal,air fryers,"3,999
                        
                         .",09/01/2023,4.4 out of 5 stars,320 ratings,https://www.amazon.eg/-/en/Tefal-Easy-Healthy-Fryer-Black/dp/B07FCNWW1R/ref=sr_1_9?qid=1673219321&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-9
"Philips HD9252 Essential Airfryer, 4.1 L, 0.8 kg - Black ( International warranty )",Brand: PHILIPS,air fryers,"5,042
                        
                         .",09/01/2023,4.3 out of 5 stars,63 ratings,https://www.amazon.eg/-/en/Philips-HD9252-Essential-Airfryer-International/dp/B095PZ1TMZ/ref=sr_1_10?qid=1673219321&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-10
"Philips Kitchen Appliances HD9270/91 Airfryer XL, with Fat Removal Technology, Plastic, Black",Brand: Philips Kitchen Appliances,air fryers,"7,599
                        
                         .",09/01/2023,4.6 out of 5 stars,348 ratings,https://www.amazon.eg/-/en/Philips-Kitchen-Appliances-HD9270-91/dp/B08SHR1QFS/ref=sr_1_11?qid=1673219321&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-11
"Nutricook Rapid Air Fryer 2, 1700 Watts, Digital Control Panel Display, 8 Preset Programs with built-in Preheat function, 5.5 Liters, Brush Stainless Steel/Black, International Warranty",Brand: nutricook,air fryers,"5,251
                         
                          .",09/01/2023,4.4 out of 5 stars,324 ratings,https://www.amazon.eg/-/en/Nutricook-Programs-function-Stainless-International/dp/B08W8J6RW6/ref=sr_1_12?qid=1673219321&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-12
"Xiaomi Mi BHR4857HK OLED Display Smart Air Fryer, 3.5L - White",Brand: Xiaomi,air fryers,"3,982
                         
                          .",09/01/2023,4.6 out of 5 stars,82 ratings,https://www.amazon.eg/-/en/Xiaomi-BHR4857HK-Display-Smart-Fryer/dp/B09DBN7CDB/ref=sr_1_13?qid=1673219321&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-13
Sokany Healthy Air Fryer Sokany - 3.5L SK-8008,Brand: Sokany,air fryers,"2,310
                         
                          .",09/01/2023,4.0 out of 5 stars,3 ratings,https://www.amazon.eg/-/en/Sokany-Healthy-Air-Fryer-SK-8008/dp/B09V1FNMPK/ref=sr_1_14?qid=1673219321&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-14
"Delonghi Chef Plus FH 1396/1 MultiCooker EXTRA Grey, 1.7 Liters ( international Warranty )",Brand: DeLonghi,air fryers,"10,799
                        
                         .",09/01/2023,4.4 out of 5 stars,726 ratings,https://www.amazon.eg/-/en/Delonghi-MultiCooker-Liters-international-Warranty/dp/B015QFJ4IC/ref=sr_1_15?qid=1673219321&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-15
"XL Air Fryer Accessories-Air Fryer Three Stackable Racks for Gowise Phillips USA Cozyna Ninjia Airfryer,Air Fryer Rack Stainless Steel Fit all 4.2QT - 5.8QT air fryer,Oven,Pressure Cooker",Brand: RAMLLY,air fryers,"550
                         
                          .",09/01/2023,5.0 out of 5 stars,1 rating,https://www.amazon.eg/-/en/Accessories-Air-Stackable-Phillips-Airfryer-Stainless/dp/B0893RB4BH/ref=sr_1_16?qid=1673219321&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-16
"TEFAL Easy Fry Digital Interface 4.2 L Oil-less Fryer, Silver, Metal/Stainless Steel, EY401D27 International warranty",Brand: Tefal,air fryers,"4,427
                         
                          .",09/01/2023,4.2 out of 5 stars,170 ratings,https://www.amazon.eg/-/en/Interface-Oil-less-Stainless-EY401D27-International/dp/B07T9FXVXS/ref=sr_1_17?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-17
"Philips Airfryer Essential with Rapid Air Technology for Fry/Bake/Grill/Roast/Reheat, 0.8kg/4.1L Capacity, White and Rose Gold,International warranty - HD9200/21",Brand: PHILIPS,air fryers,"4,390
                         
                          .",09/01/2023,4.5 out of 5 stars,158 ratings,https://www.amazon.eg/-/en/Airfryer-Essential-Technology-Capacity-International/dp/B08YQ869V9/ref=sr_1_18?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-18
Air Fryer - 4 Liters - AF 300 - Black - Black and Decker,Brand: Black & Decker,air fryers,"4,100
                         
                          .",09/01/2023,4.1 out of 5 stars,7 ratings,https://www.amazon.eg/-/en/Air-Fryer-Liters-Black-Decker/dp/B09PJLNPW8/ref=sr_1_19?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-19
"Xiaomi Mi Smart Air Fryer 3.5L – 100+ in-app recipes, automatic heat and time control, 24h Timer, Multiple modes Fry Ferment Bake Defrost [Official UK] White, BHR4857HK",Brand: Xiaomi,air fryers,"4,350
                        
                         .",09/01/2023,4.6 out of 5 stars,194 ratings,https://www.amazon.eg/-/en/Xiaomi-Smart-Fryer-3-5L-app/dp/B098BRGZW1/ref=sr_1_20?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-20
"KENWOOD Airfryer Large 5.5Litre/2.4Kg Capacity, - HFP50.000 - Black",Brand: KENWOOD,air fryers,"5,840
                         
                          .",09/01/2023,4.3 out of 5 stars,50 ratings,https://www.amazon.eg/-/en/KENWOOD-Airfryer-Large-5-5Litre-Capacity/dp/B08J7ZS717/ref=sr_1_21?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-21
"Philips HD9654 Avance Collection Airfryer XXL - Black,international warranty",Brand: PHILIPS,air fryers,"10,055
                        
                         .",09/01/2023,4.1 out of 5 stars,23 ratings,https://www.amazon.eg/-/en/Philips-HD9654-Avance-Collection-Airfryer/dp/B0792H8HT7/ref=sr_1_22?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-22
Philips Avance Collection 1.4 Kg Airfryer XXL - HD9650/91 ( International warranty ),Brand: PHILIPS,air fryers,"11,111
                         
                          .",09/01/2023,4.2 out of 5 stars,16 ratings,https://www.amazon.eg/-/en/Philips-Avance-Collection-Airfryer-International/dp/B07FSR8LYK/ref=sr_1_23?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-23
"TEFAL Easy Fry Oil-less Fryer XXL, 1800 Watts, Black / Silver, Plastic / Stainless Steel, EY701D28, 1 year warranty",Brand: Tefal,air fryers,"6,500
                         
                          .",09/01/2023,4.2 out of 5 stars,22 ratings,https://www.amazon.eg/-/en/Oil-less-Plastic-Stainless-EY701D28-warranty/dp/B09BFC8R33/ref=sr_1_24?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-24
Black and decker air fryer AF575-B5,Brand: Black & Decker,air fryers,"6,249
                         
                          .",09/01/2023,4.6 out of 5 stars,3 ratings,https://www.amazon.eg/-/en/Black-decker-air-fryer-AF575-B5/dp/B0BB2Q9DQR/ref=sr_1_25?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-25
Sokany Sk-8014 Oil-Free Healthy Air Frying Pan with Digital Touch Screen - 8L,Brand: Generic,air fryers,"4,655
                         
                          .",09/01/2023,5.0 out of 5 stars,2 ratings,https://www.amazon.eg/-/en/Sokany-Sk-8014-Oil-Free-Healthy-Digital/dp/B0BLZTLLNY/ref=sr_1_26?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-26
PHILIPS AIRFRYER XL HD9260 - International warranty,Brand: PHILIPS,air fryers,"7,150
                         
                          .",09/01/2023,4.4 out of 5 stars,75 ratings,https://www.amazon.eg/-/en/PHILIPS-AIRFRYER-XL-HD9260-International/dp/B083HCL3WF/ref=sr_1_27?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-27
"Tefal Deep Fryer, 4L - EY2018",Brand: Tefal,air fryers,"3,850
                         
                          .",09/01/2023,4.1 out of 5 stars,13 ratings,https://www.amazon.eg/-/en/Tefal-Deep-Fryer-4L-EY2018/dp/B0839P9LN3/ref=sr_1_28?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-28
