title,brand,category,price,date,rating,num_of_ratings,link
"<span class=""a-size-large product-title-word-break"" id=""productTitle"">
            De'Longhi EcoDecalk Descaler, Eco-Friendly Universal Descaling Solution for Coffee &amp; Espresso Machines, 16.90 oz (5 uses)
           </span>","<a class=""a-link-normal"" href=""/-/en/s/ref=bl_dp_s_web_18021933031?ie=UTF8&amp;node=18021933031&amp;field-brandtextbin=De%27Longhi"" id=""bylineInfo"">
           Brand: De'Longhi
          </a>",N/A,,09/01/2023,"<span class=""a-icon-alt"">
                4.7 out of 5 stars
               </span>","<span class=""a-size-base"" id=""acrCustomerReviewText"">
             78,409 ratings
            </span>",https://www.amazon.eg/-/en/DeLonghi-EcoDecalk-Eco-Friendly-Universal-Descaling/dp/B008YETL18/ref=sr_1_10?qid=1673220480&refinements=p_72%3A21909187031&rnid=21864088031&s=home-garden&sr=1-10
"<span class=""a-size-large product-title-word-break"" id=""productTitle"">
            De'Longhi Espresso Coffee Maker -(international warranty)- Black, ECP35.31
           </span>","<a class=""a-link-normal"" href=""/-/en/s/ref=bl_dp_s_web_18021933031?ie=UTF8&amp;node=18021933031&amp;field-brandtextbin=De%27Longhi"" id=""bylineInfo"">
           Brand: De'Longhi
          </a>",N/A,"<span class=""a-price"" data-a-color=""price"" data-a-size=""m"" id=""tp_price_block_total_price_ww"">
<span class=""a-offscreen"">
                              EGP 4,999.00
                             </span>
<span aria-hidden=""true"">
<span class=""a-price-symbol"">
</span>
<span class=""a-price-whole"">
                               4,999
                               <span class=""a-price-decimal"">
                                .
                               </span>
</span>
<span class=""a-price-fraction"">
                               00
                              </span>
</span>
</span>",09/01/2023,"<span class=""a-icon-alt"">
                4.2 out of 5 stars
               </span>","<span class=""a-size-base"" id=""acrCustomerReviewText"">
             1,373 ratings
            </span>",https://www.amazon.eg/-/en/DeLonghi-Espresso-international-warranty-ECP35-31/dp/B013GDE0SU/ref=sr_1_14?qid=1673220480&refinements=p_72%3A21909187031&rnid=21864088031&s=home-garden&sr=1-14
"<span class=""a-size-large product-title-word-break"" id=""productTitle"">
            Kenwood HB510 Stainless Steel Hand Blender 200 Watts - White
           </span>","<a class=""a-link-normal"" href=""/-/en/s/ref=bl_dp_s_web_18021933031?ie=UTF8&amp;node=18021933031&amp;field-brandtextbin=Kenwood"" id=""bylineInfo"">
           Brand: Kenwood
          </a>",N/A,,09/01/2023,"<span class=""a-icon-alt"">
                4.1 out of 5 stars
               </span>","<span class=""a-size-base"" id=""acrCustomerReviewText"">
             18 ratings
            </span>",https://www.amazon.eg/-/en/Kenwood-HB510-Stainless-Steel-Blender/dp/B01H3BV1RE/ref=sr_1_8?qid=1673220855&refinements=p_72%3A21909187031&s=home-garden&sr=1-8
"<span class=""a-size-large product-title-word-break"" id=""productTitle"">
            Braun MQ500 Multiquick 5 Soup Hand Blender, 600 Watt ( International warranty )
           </span>","<a class=""a-link-normal"" href=""/-/en/s/ref=bl_dp_s_web_18021933031?ie=UTF8&amp;node=18021933031&amp;field-brandtextbin=Braun"" id=""bylineInfo"">
           Brand: Braun
          </a>",N/A,,09/01/2023,"<span class=""a-icon-alt"">
                4.5 out of 5 stars
               </span>","<span class=""a-size-base"" id=""acrCustomerReviewText"">
             297 ratings
            </span>",https://www.amazon.eg/-/en/Braun-MQ500-Multiquick-International-warranty/dp/B00KL5UCOS/ref=sr_1_25?qid=1673220857&refinements=p_72%3A21909187031&s=home-garden&sr=1-25
"<span class=""a-size-large product-title-word-break"" id=""productTitle"">
            Bosch Hand Blender MS6CM6155, ErgoMixx, 1000 W,Stainless Steel
           </span>","<a class=""a-link-normal"" href=""/-/en/s/ref=bl_dp_s_web_18021933031?ie=UTF8&amp;node=18021933031&amp;field-brandtextbin=Bosch"" id=""bylineInfo"">
           Brand: Bosch
          </a>",N/A,,09/01/2023,"<span class=""a-icon-alt"">
                4.7 out of 5 stars
               </span>","<span class=""a-size-base"" id=""acrCustomerReviewText"">
             1,197 ratings
            </span>",https://www.amazon.eg/-/en/Bosch-Blender-MS6CM6155-ErgoMixx-Stainless/dp/B07WZPZCNT/ref=sr_1_95?qid=1673220865&refinements=p_72%3A21909187031&s=home-garden&sr=1-95
"<span class=""a-size-large product-title-word-break"" id=""productTitle"">
            Braun Minipimer 3 MQ3000 Smoothie MQ3000WH Hand Mixer, Plastic, 700 W, White
           </span>","<a class=""a-link-normal"" href=""/-/en/s/ref=bl_dp_s_web_18021933031?ie=UTF8&amp;node=18021933031&amp;field-brandtextbin=Braun"" id=""bylineInfo"">
           Brand: Braun
          </a>",N/A,,09/01/2023,"<span class=""a-icon-alt"">
                4.5 out of 5 stars
               </span>","<span class=""a-size-base"" id=""acrCustomerReviewText"">
             470 ratings
            </span>",https://www.amazon.eg/Braun-Minipimer-MQ3000-Smoothie-MQ3000WH/dp/B06X97CBS9/ref=sr_1_100?qid=1673220867&refinements=p_72%3A21909187031&s=home-garden&sr=1-100
"<span class=""a-size-large product-title-word-break"" id=""productTitle"">
            Braun MultiQuick 3 MQ3035 Hand Blender 700 Watt - White
           </span>","<a class=""a-link-normal"" href=""/-/en/s/ref=bl_dp_s_web_18021990031?ie=UTF8&amp;node=18021990031&amp;field-brandtextbin=Braun"" id=""bylineInfo"">
           Brand: Braun
          </a>",N/A,,09/01/2023,"<span class=""a-icon-alt"">
                4.6 out of 5 stars
               </span>","<span class=""a-size-base"" id=""acrCustomerReviewText"">
             127 ratings
            </span>",https://www.amazon.eg/Braun-MultiQuick-MQ3035-Hand-Blender/dp/B06XJ69JMB/ref=sr_1_110?qid=1673220867&refinements=p_72%3A21909187031&s=home-garden&sr=1-110
"<span class=""a-size-large product-title-word-break"" id=""productTitle"">
            Braun MQ9047X MultiQuick 9 Hand blender - 1000 Watt
           </span>","<a class=""a-link-normal"" href=""/-/en/s/ref=bl_dp_s_web_18021933031?ie=UTF8&amp;node=18021933031&amp;field-brandtextbin=Braun"" id=""bylineInfo"">
           Brand: Braun
          </a>",N/A,,09/01/2023,"<span class=""a-icon-alt"">
                4.8 out of 5 stars
               </span>","<span class=""a-size-base"" id=""acrCustomerReviewText"">
             11 ratings
            </span>",https://www.amazon.eg/-/en/Braun-MQ9047X-MultiQuick-Hand-blender/dp/B07P9QDRSB/ref=sr_1_119?qid=1673220869&refinements=p_72%3A21909187031&s=home-garden&sr=1-119
"<span class=""a-size-large product-title-word-break"" id=""productTitle"">
            Braun MQ3020 MultiQuick 3 Hand Blender 700 watt White Blue
           </span>","<a class=""a-link-normal"" href=""/-/en/s/ref=bl_dp_s_web_18021933031?ie=UTF8&amp;node=18021933031&amp;field-brandtextbin=Braun"" id=""bylineInfo"">
           Brand: Braun
          </a>",N/A,,09/01/2023,"<span class=""a-icon-alt"">
                4.4 out of 5 stars
               </span>","<span class=""a-size-base"" id=""acrCustomerReviewText"">
             130 ratings
            </span>",https://www.amazon.eg/Braun-MQ3020-MultiQuick-Blender-White/dp/B06VYBK7LS/ref=sr_1_134?qid=1673220872&refinements=p_72%3A21909187031&s=home-garden&sr=1-134
"<span class=""a-size-large product-title-word-break"" id=""productTitle"">
            Braun Blender Jug Base Nut
           </span>","<a class=""a-link-normal"" href=""/-/en/s/ref=bl_dp_s_web_18021933031?ie=UTF8&amp;node=18021933031&amp;field-brandtextbin=Braun"" id=""bylineInfo"">
           Brand: Braun
          </a>",N/A,"<span class=""a-price"" data-a-color=""price"" data-a-size=""m"" id=""tp_price_block_total_price_ww"">
<span class=""a-offscreen"">
                              EGP 179.00
                             </span>
<span aria-hidden=""true"">
<span class=""a-price-symbol"">
</span>
<span class=""a-price-whole"">
                               179
                               <span class=""a-price-decimal"">
                                .
                               </span>
</span>
<span class=""a-price-fraction"">
                               00
                              </span>
</span>
</span>",09/01/2023,"<span class=""a-icon-alt"">
                4.6 out of 5 stars
               </span>","<span class=""a-size-base"" id=""acrCustomerReviewText"">
             7 ratings
            </span>",https://www.amazon.eg/-/en/Braun-Blender-Jug-Base-Nut/dp/B089FP477V/ref=sr_1_145?qid=1673220874&refinements=p_72%3A21909187031&s=home-garden&sr=1-145
